GEOID20,District
080010094011026,7
080010094011027,7
080010094011028,7
080010094011029,7
080010094011030,7
080010094011031,7
080010094011032,7
080010094011033,7
080010094011034,7
080010094011035,7
080010094011036,7
080010094012018,7
080010094071000,7
080010094071001,7
080010094071002,7
080010094071019,7
080010094071020,7
080010094071021,7
080010094071022,7
080010094071023,7
080010094071024,7
080010094071026,7
080010095012000,7
080010095012001,7
080010095012002,7
080010095012003,7
080010095012004,7
080010095012005,7
080010095012006,7
080010095012007,7
080010095012008,7
080010095012009,7
080010095012010,7
080010095012011,7
080010095012012,7
080010095012013,7
080010095012014,7
080010095012015,7
080010095012016,7
080010095022002,7
080010095022003,7
080010095022004,7
080010095022005,7
080010095022006,7
080010095022007,7
080010095022008,7
080010095022009,7
080010095022010,7
080010095022011,7
080010095022012,7
080010095022013,7
080010095022021,7
080010095022022,7
080010095023019,7
080010096061000,7
080010096061001,7
080010096061002,7
080010096061003,7
080010096061004,7
080010096061005,7
080010096061006,7
080010096061007,7
080010096061010,7
080010096061011,7
080010096061012,7
080010096061013,7
080010096061014,7
080010096061015,7
080010096061016,7
080010096061032,7
080010096061033,7
080010094012000,7
080010094012001,7
080010094012002,7
080010094012003,7
080010094012004,7
080010094012005,7
080010094012006,7
080010094012007,7
080010094012008,7
080010094012009,7
080010094012010,7
080010094012011,7
080010094012012,7
080010094012013,7
080010094012014,7
080010094012015,7
080010094012016,7
080010094012017,7
080010094012019,7
080010094012020,7
080010094012021,7
080010094012022,7
080010094012023,7
080010094013029,7
080010094013030,7
080010094013031,7
080010094013032,7
080010094013034,7
080010094013035,7
080010093091010,7
080010093091011,7
080010093091013,7
080010093091014,7
080010093092000,7
080010093092001,7
080010093092002,7
080010093092003,7
080010093092004,7
080010093092005,7
080010093092006,7
080010093092007,7
080010093092008,7
080010093092009,7
080010093092010,7
080010093092011,7
080010093092012,7
080010093103000,7
080010093103001,7
080010093103002,7
080010093103003,7
080010093103004,7
080010093103005,7
080010093103006,7
080010093103007,7
080010093104000,7
080010093104001,7
080010093104002,7
080010093104003,7
080010093104004,7
080010093104005,7
080010093104006,7
080010093104007,7
080010093104008,7
080010093104009,7
080010093104010,7
080010093104011,7
080010093104012,7
080010093062000,7
080010093062001,7
080010093062002,7
080010093062003,7
080010093062004,7
080010093062005,7
080010093062006,7
080010093062007,7
080010093062008,7
080010093062009,7
080010093062010,7
080010093062011,7
080010093062012,7
080010093062013,7
080010093062014,7
080010093062015,7
080010093062016,7
080010093062017,7
080010093062018,7
080010093062019,7
080010093062020,7
080010093062021,7
080010093062022,7
080010093062023,7
080010093062024,7
080010093062025,7
080010093062026,7
080010093062027,7
080010093062028,7
080010093062029,7
080010093062030,7
080010093062031,7
080010093062032,7
080010093084001,7
080010093084002,7
080010093084003,7
080010093084004,7
080010093084005,7
080010096042000,7
080010096042001,7
080010096042002,7
080010096042003,7
080010096042004,7
080010096042005,7
080010096042006,7
080010096042007,7
080010096042008,7
080010096042009,7
080010096042010,7
080010096042011,7
080010096042012,7
080010096042013,7
080010096042014,7
080010096043000,7
080010096043001,7
080010096043002,7
080010096043003,7
080010096043004,7
080010096043005,7
080010096044000,7
080010096044001,7
080010096044002,7
080010096044003,7
080010096044004,7
080010096044005,7
080010096044006,7
080010096044007,7
080010096044008,7
080010096044009,7
080010096044010,7
080010096044011,7
080010096044012,7
080010096044013,7
080010096044014,7
080010096044015,7
080010093091000,7
080010093091001,7
080010093091002,7
080010093091003,7
080010093091004,7
080010093091005,7
080010093091006,7
080010093091007,7
080010093091008,7
080010093091009,7
080010093091012,7
080010093093000,7
080010093093001,7
080010093093002,7
080010093093003,7
080010093202000,7
080010093202001,7
080010093202002,7
080010093202003,7
080010093202004,7
080010093202005,7
080010093202006,7
080010093202007,7
080010093202008,7
080010093202009,7
080010093202010,7
080010093202011,7
080010093101000,7
080010093101001,7
080010093101002,7
080010093101003,7
080010093101004,7
080010093101005,7
080010093101006,7
080010093101007,7
080010093101008,7
080010093101009,7
080010093101010,7
080010093101011,7
080010093101012,7
080010093101013,7
080010093101014,7
080010093101015,7
080010093101016,7
080010093101017,7
080010093101018,7
080010093102000,7
080010093102001,7
080010093102002,7
080010093102003,7
080010093102004,7
080010093102005,7
080010093102006,7
080010093102007,7
080010093102008,7
080010093102009,7
080010093102010,7
080010093201008,7
080010096031000,7
080010096031002,7
080010096031003,7
080010096031004,7
080010096031005,7
080010096031006,7
080010096031007,7
080010096031008,7
080010096031009,7
080010096031010,7
080010096031011,7
080010096031012,7
080010096031013,7
080010096031014,7
080010096031015,7
080010096031016,7
080010096031017,7
080010096031018,7
080010096031019,7
080010096031020,7
080010096034002,7
080010096033000,7
080010096033001,7
080010096033002,7
080010096033003,7
080010096033004,7
080010096033005,7
080010096033006,7
080010096033007,7
080010096033008,7
080010096033009,7
080010096034000,7
080010096034001,7
080010096035000,7
080010096035001,7
080010096035002,7
080010094013000,7
080010094013001,7
080010094013002,7
080010094013003,7
080010094013004,7
080010094013005,7
